date;BAMLCC0A0CMTRIV;BAMLHYH0A0HYM2TRIV;BOGMBBM;CNP16OV;CPIAUCNS;DCOILWTICO;DRBLACBS;DRCLACBS;DRSREACBS;EXPINF10YR;EXPINF1YR;FEDFUNDS;GDP;GDPC1;GFDEBTN;H8B1001NCBCMG;H8B1023NCBCMG;H8B1027NCBCMG;H8B1058NCBCMG;ICSA;LNS15000000;LNU00000012;LNU00000036;LNU00000060;LNU00024230;M1SL;M1V;M2SL;M2V;MBCURRCIR;MICH;MORTGAGE30US;MPRIME;MVLOAS;PAYEMS;REAINTRATREARAT10Y;REAINTRATREARAT1YE;REVOLSL;TB1YR;TB3MS;TERMCBAUTO48NS;TERMCBPER24NS;UMCSENT;VIXCLS;WILL5000INDFC
2000-03-01;0.011084173874871484;-0.014680815967449412;0.08943089430894302;0.0009263810640147696;0.008244994110718329;-0.12136081125286236;0.021099999999999997;0.0337;0.018600000000000002;0.033286618;0.032388566;0.058499999999999996;0.010303864509787708;0.00364447361133724;-0.00046727103156785077;0.13699999999999998;0.11599999999999999;0.214;0.066;-0.06468085106382981;0.0031539351851852526;0.0038733054288748736;0.0032109837789957574;-0.00022450608660951055;0.0017818772601017052;-0.0009922424679775776;0.009773084700067658;0.006582040432534075;2.135;-0.003535442814212475;0.032;0.0824;0.0883;0.019949280356299948;0.00359964613648156;0.0344034736;0.0265931;0.00838836363985096;0.058600000000000006;0.056900000000000006;0.0888;0.1376;-0.037735849056603765;22.71826086956522;0.05940141649531627
2000-04-01;-0.012353962740764168;2.790178571432378e-05;0.03731343283582089;0.0011616266550817933;0.0005841121495329116;-0.0428145941921072;0.022400000000000003;0.0338;0.0173;0.031782392;0.031606735000000004;0.0602;0.024548750827194654;0.018205830083557695;-0.015147767551553781;0.091;0.11199999999999999;0.239;0.10300000000000001;-0.01146496815286624;-0.001023969540511649;-0.00535191984566552;0.0012692456266210073;0.000681986410173252;0.00395849681750815;0.007313769751692956;0.029146734898208848;0.01186786123731487;2.151;0.0017739932588256568;0.032;0.081525;0.09;0.04905677775009898;0.0022189124289491158;0.0320296665;0.028956990000000002;0.00518058340401617;0.057999999999999996;0.056600000000000004;0.0888;0.1376;0.019607843137255054;27.164210526315788;-0.0519732585723528
2000-05-01;-0.005574871118570801;-0.012583354259088853;0.050359712230215736;0.0010565140695601993;0.0011675423234092097;0.12913263321664714;0.022400000000000003;0.0338;0.0173;0.032724233;0.033126257;0.06269999999999999;0.024548750827194654;0.018205830083557695;-0.015147767551553781;0.113;0.195;0.225;0.057;0.03921207658321069;0.008460017035529122;-0.004129387474191337;0.0031966490299824013;0.0017869164471113752;0.00027791287431400136;-0.00959125134456773;0.029146734898208848;-0.0025597448647742826;2.151;0.002302107313617796;0.03;0.08514999999999999;0.0924;0.04905677775009898;0.0016453354361276595;0.033605311;0.027889979999999998;0.009782417164658996;0.0594;0.0579;0.0922;0.1389;0.013736263736263687;26.373181818181816;-0.035031847133757954
2000-06-01;0.024926155886430656;0.01929923707261949;-0.08904109589041098;0.0010553990256405577;0.005247813411078717;0.11746469169824314;0.022400000000000003;0.0338;0.0173;0.033262841;0.037602013;0.0653;0.024548750827194654;0.018205830083557695;-0.015147767551553781;0.092;0.127;0.129;0.08;0.031000885739592476;0.0003292628806206288;-0.0029528177420368174;0.006592682122843696;9.955697147701059e-05;0.0024310620268110927;-0.0020816363471809485;0.029146734898208848;0.003765329518921501;2.151;0.0045936395759718085;0.028999999999999998;0.08288000000000001;0.095;0.04905677775009898;-0.00033306839256652676;0.031278929;0.019782496;0.01155545996432883;0.0583;0.056900000000000006;0.0922;0.1389;-0.038843721770551065;21.54;0.04408297972654407
2000-07-01;0.011821790913101093;0.005377983533390696;0.007518796992481258;0.0009931000724821004;0.002320185614849146;-0.15228113440197277;0.0233;0.0361;0.0184;0.030885155;0.030862813;0.0654;0.006874212019844617;0.0009977412825952214;-0.0020680844567774193;0.07;0.07200000000000001;0.355;0.111;0.013745704467353903;0.007470376094796505;-0.001260239445494693;0.0022923261652658677;0.0014102500290344988;0.0003291297117515857;0.0008162524941048854;0.012863474219003246;0.0036883356385430943;2.141;0.0038691523039042774;0.03;0.081475;0.095;0.03498972054058802;0.0013251451980524909;0.0306235485;0.033533363999999996;0.012154198672614136;0.0575;0.0596;0.0922;0.1389;0.017857142857142794;19.893;-0.02032061413411601
2000-08-01;0.012952790614312981;0.009816086249207379;0.014925373134328401;0.001123769848173417;0.0;0.2032727272727275;0.0233;0.0361;0.0184;0.030654360999999998;0.031234905999999996;0.065;0.006874212019844617;0.0009977412825952214;-0.0020680844567774193;0.069;0.036000000000000004;0.177;0.08900000000000001;0.060169491525423835;4.26148470127341e-05;-0.00018927444794947235;-0.0003811805706818161;0.0010851916895855407;0.002043396193741609;-0.002990484821023931;0.012863474219003246;0.0058671232304674525;2.141;-0.0017519271198318531;0.027000000000000003;0.080275;0.095;0.03498972054058802;-4.5373423273487035e-05;0.0304561328;0.032388842;0.014058587536791789;0.0587;0.060899999999999996;0.0962;0.1384;-0.009233610341643606;18.088695652173914;0.072597372666513
2000-09-01;0.007861665295816778;-0.008655762772028508;0.0;0.0011600819102368654;0.005208333333333259;-0.06708975521305538;0.0233;0.0361;0.0184;0.029890166;0.031741185;0.0652;0.006874212019844617;0.0009977412825952214;-0.0020680844567774193;0.054000000000000006;0.018000000000000002;0.174;0.055;-0.04012789768185454;0.003465859859945075;-0.0001893102795481605;0.005937789399139248;-3.309970458509337e-05;0.0025058325412599114;-0.0004544628249408822;0.012863474219003246;0.007410482615464398;2.141;0.0007020007020006602;0.028999999999999998;0.07912000000000001;0.095;0.03498972054058802;0.0009301973833470978;0.028859961799999997;0.030037547;0.009107805838613148;0.0579;0.06;0.0962;0.1384;-0.004659832246039164;19.687500000000004;-0.04662655779974223
2000-10-01;-0.0005314101347503319;-0.03184046714041755;0.014705882352941124;0.0011352814512837206;0.0017271157167531026;0.05928085519922255;0.0252;0.0385;0.020499999999999997;0.029611545000000003;0.031062109;0.06509999999999999;0.011395340159805478;0.005943617551420699;-0.002108322631344528;-0.021;0.053;0.249;0.033;0.0026648900732844094;0.0019392738339585325;-0.0010729613733905241;0.0014079930683417174;0.0017626176112808256;0.00034476814342365714;-0.0009093389106119565;0.018783351120597702;0.0032967938679633324;2.133;0.0022799017888459616;0.032;0.07795;0.095;0.027044010720805645;-1.511110439511576e-05;0.028766255900000003;0.030465727999999997;0.008989982897349647;0.0572;0.0611;0.0962;0.1384;-0.009363295880149836;25.2;-0.021410863195852947
2000-11-01;0.014241768257946985;-0.038349928876244666;0.03623188405797095;0.0006325999859422282;0.0005747126436781436;0.027828746177369856;0.0252;0.0385;0.020499999999999997;0.029558753000000004;0.030989798;0.06509999999999999;0.011395340159805478;0.005943617551420699;-0.002108322631344528;0.022000000000000002;0.025;0.21899999999999997;-0.03;0.11046511627906974;-0.002867960780989498;0.0016427623681052328;0.006381137789314373;0.0001321702352630183;-0.00041357918318107867;-0.005734049331027502;0.018783351120597702;0.0022796352583587254;2.133;0.007699037620297444;0.028999999999999998;0.07745;0.095;0.027044010720805645;0.0015489116062590291;0.0283313793;0.027562754;0.009052484088772239;0.0584;0.0617;0.0964;0.141;0.017013232514177634;26.38285714285714;-0.09949332105020725
2000-12-01;0.019555530592376247;0.022750133128217165;-0.013986013986013957;0.0009178608223283646;-0.0005743825387707346;-0.20499851234751565;0.0252;0.0385;0.020499999999999997;0.028761226999999997;0.031672986;0.064;0.011395340159805478;0.005943617551420699;-0.002108322631344528;0.076;0.048;0.198;0.17600000000000002;0.03515332834704554;-0.001289335354708876;0.0017031476692108694;-0.0011284255776464747;0.00098288621646625;0.0012240113091748217;-0.003478579274991067;0.018783351120597702;0.009159272995512557;2.133;0.014585865601666859;0.027999999999999997;0.07382000000000001;0.095;0.027044010720805645;0.0011542291559794027;0.0263921042;0.023188388;0.012836346467629767;0.0533;0.057699999999999994;0.0964;0.141;-0.08550185873605942;26.5305;0.01790281329923271
